listing_id,room_type,property_type,accommodates,bedrooms,minimum_nights,maximum_nights,instant_bookable,bathrooms,is_superhost,count,name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,sum_future_available_days_30d,avg_future_available_days_30d,high_demand_proxy,cutoff_date,version
50110630,Private room,Private room in condo,0.06666666666666667,0.058823529411764705,0.001,0.025800711743772242,True,1.5,False,2,Noord-Oost,0.0,0.0,4358.0,68,0.7472527472527473,2.0,30.0,29,0.9354838709677419,2.0,30.0,26,0.8666666666666667,0,2025-12-10,v1
50116117,Entire home/apt,Entire rental unit,0.2,0.17647058823529413,0.001,0.02402135231316726,False,2,False,1,Watergraafsmeer,21.0,21.0,119.0,3,0.03296703296703297,1.967032967032967,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
50116226,Entire home/apt,Entire condo,0.06666666666666667,0.058823529411764705,0.001,0.0017793594306049821,False,1,False,1,De Baarsjes - Oud-West,19.0,19.0,485.0,0,0.0,2.0,3.0,0,0.0,2.0,3.0,0,0.0,1,2025-12-10,v1
50123424,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.0,1.0,False,1,False,1,Westerpark,0.0,0.0,4358.0,0,0.0,3.4285714285714284,1125.0,0,0.0,3.4838709677419355,1125.0,0,0.0,1,2025-12-10,v1
50133183,Entire home/apt,Entire condo,0.2,0.11764705882352941,0.027,0.6485765124555161,True,1.5,False,1,Centrum-Oost,32.0,32.0,93.0,17,0.18681318681318682,13.89010989010989,1125.0,10,0.3225806451612903,7.0,1125.0,20,0.6666666666666666,0,2025-12-10,v1
50135127,Private room,Private room in houseboat,0.2,0.11764705882352941,0.001,1.0,False,1,True,1,Centrum-Oost,259.0,258.0,107.0,47,0.5164835164835165,1.945054945054945,1125.0,29,0.9354838709677419,2.0,1125.0,25,0.8333333333333334,0,2025-12-10,v1
50150930,Entire home/apt,Entire loft,0.06666666666666667,0.11764705882352941,0.019,0.3238434163701068,False,1,False,1,De Baarsjes - Oud-West,4.0,4.0,695.0,0,0.0,20.0,365.0,0,0.0,20.0,365.0,0,0.0,1,2025-12-10,v1
50164129,Entire home/apt,Entire condo,0.13333333333333333,0.11764705882352941,0.001,0.025800711743772242,True,1,False,1,Oud-Oost,21.0,21.0,231.0,11,0.12087912087912088,2.0,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
50165985,Entire home/apt,Entire condo,0.06666666666666667,0.11764705882352941,0.004,0.004448398576512456,False,1,False,1,Westerpark,22.0,22.0,176.0,16,0.17582417582417584,6.7032967032967035,6.7032967032967035,0,0.0,7.0,7.0,6,0.2,1,2025-12-10,v1
50183374,Entire home/apt,Entire condo,0.13333333333333333,0.058823529411764705,0.006,0.021352313167259787,False,1,False,1,De Pijp - Rivierenbuurt,3.0,3.0,711.0,0,0.0,7.0,25.0,0,0.0,7.0,25.0,0,0.0,1,2025-12-10,v1
50188336,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.08718861209964412,True,1,False,9,Centrum-West,16.0,16.0,115.0,64,0.7032967032967034,1.098901098901099,1000.0,28,0.9032258064516129,1.129032258064516,1000.0,30,1.0,0,2025-12-10,v1
50188418,Private room,Room in hotel,0.13333333333333333,0.058823529411764705,0.0,0.08718861209964412,True,1,False,9,Centrum-West,43.0,43.0,156.0,90,0.989010989010989,1.1318681318681318,1000.0,31,1.0,1.129032258064516,1000.0,30,1.0,0,2025-12-10,v1
50193797,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.08718861209964412,True,1,False,9,Centrum-West,215.0,214.0,105.0,71,0.7802197802197802,1.1318681318681318,1000.0,27,0.8709677419354839,1.129032258064516,1000.0,30,1.0,0,2025-12-10,v1
50208112,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.001,0.017793594306049824,False,1,False,1,Bos en Lommer,7.0,7.0,1187.0,0,0.0,2.0,21.0,0,0.0,2.0,21.0,0,0.0,1,2025-12-10,v1
50235548,Entire home/apt,Entire loft,0.06666666666666667,0.058823529411764705,0.002,0.005338078291814947,False,1,False,1,De Baarsjes - Oud-West,20.0,20.0,837.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,0,0.0,1,2025-12-10,v1
